player,game,home_team,away_team,line,over_bookmaker,over_odds,over_decimal_odds,over_implied_prob,over_fair_odds,over_fair_prob,over_ev,under_bookmaker,under_odds,under_decimal_odds,under_implied_prob,under_fair_odds,under_fair_prob,under_ev,bookmakers_over,bookmakers_under,total_bookmakers
Moussa Diabate,Nets @ Hornets,Hornets,Nets,9.5,fanduel,104.0,2.04,0.4902,112.0,0.4717,-3.77,betonline,102.0,2.02,0.495,-112.0,0.5283,6.72,7,6,7
Ron Holland,Pistons @ Warriors,Warriors,Pistons,2.5,betmgm,135.0,2.35,0.4255,149.0,0.4016,-5.62,espnbet,130.0,2.3,0.4348,-149.0,0.5984,37.63,7,6,7
Dangelo Russell,Nets @ Hornets,Hornets,Nets,2.5,espnbet,-105.0,1.9524,0.5122,100.0,0.5,-2.38,prizepicks,-118.0,1.8475,0.5413,100.0,0.5,-7.63,6,6,6
Daquan Jeffries,Nets @ Hornets,Hornets,Nets,3.5,bovada,118.0,2.18,0.4587,-117.0,0.5392,17.55,prizepicks,-118.0,1.8475,0.5413,117.0,0.4608,-14.87,6,5,6
Jordan Hawkins,Pelicans @ Rockets,Rockets,Pelicans,2.5,hardrockbet,120.0,2.2,0.4545,100.0,0.5,10.0,prophetexchange,105.0,2.05,0.4878,100.0,0.5,2.5,6,6,6
Jose Alvarado,Pelicans @ Rockets,Rockets,Pelicans,2.5,betmgm,120.0,2.2,0.4545,122.0,0.4505,-0.89,prophetexchange,-125.0,1.8,0.5556,-122.0,0.5495,-1.09,6,6,6
Marcus Smart,Wizards @ Raptors,Raptors,Wizards,1.5,draftkings,120.0,2.2,0.4545,100.0,0.5,10.0,betmgm,110.0,2.1,0.4762,100.0,0.5,5.0,6,6,6
Orlando Robinson,Wizards @ Raptors,Raptors,Wizards,5.5,fanduel,102.0,2.02,0.495,100.0,0.5,1.0,betmgm,-110.0,1.9091,0.5238,100.0,0.5,-4.55,6,5,6
Tyrese Martin,Nets @ Hornets,Hornets,Nets,3.5,espnbet,115.0,2.15,0.4651,113.0,0.4695,0.94,prophetexchange,-110.0,1.9091,0.5238,-113.0,0.5305,1.28,6,6,6
Brandin Podziemski,Pistons @ Warriors,Warriors,Pistons,5.5,fanatics,105.0,2.05,0.4878,100.0,0.5,2.5,prizepicks,-118.0,1.8475,0.5413,100.0,0.5,-7.63,5,5,5
Kevon Looney,Pistons @ Warriors,Warriors,Pistons,5.5,betmgm,115.0,2.15,0.4651,127.0,0.4405,-5.29,betonline,113.0,2.13,0.4695,-127.0,0.5595,19.17,5,5,5
