player,game,home_team,away_team,line,over_bookmaker,over_odds,over_decimal_odds,over_implied_prob,over_fair_odds,over_fair_prob,over_ev,under_bookmaker,under_odds,under_decimal_odds,under_implied_prob,under_fair_odds,under_fair_prob,under_ev,bookmakers_over,bookmakers_under,total_bookmakers
Trae Young,Pacers @ Hawks,Hawks,Pacers,39.5,betonline,-103.0,1.9709,0.5074,100.0,0.5,-1.45,bet365,-110.0,1.9091,0.5238,100.0,0.5,-4.55,13,11,13
Wendell Carter Jr,Magic @ Bucks,Bucks,Magic,19.5,prophetexchange,105.0,2.05,0.4878,103.0,0.4926,0.98,espnbet,105.0,2.05,0.4878,-103.0,0.5074,4.02,13,12,13
Al Horford,Lakers @ Celtics,Celtics,Lakers,17.5,bovada,-102.0,1.9804,0.5049,100.0,0.5,-0.98,prophetexchange,142.0,2.42,0.4132,100.0,0.5,21.0,11,12,12
Ausar Thompson,Pistons @ Warriors,Warriors,Pistons,19.5,draftkings,-105.0,1.9524,0.5122,110.0,0.4762,-7.03,fanduel,112.0,2.12,0.4717,-110.0,0.5238,11.05,11,12,12
Cj Mccollum,Pelicans @ Rockets,Rockets,Pelicans,25.5,prophetexchange,127.0,2.27,0.4405,103.0,0.4926,11.82,fanduel,-102.0,1.9804,0.5049,-103.0,0.5074,0.49,12,11,12
Jalen Green,Pelicans @ Rockets,Rockets,Pelicans,30.5,fanduel,-102.0,1.9804,0.5049,104.0,0.4902,-2.92,bet365,-115.0,1.8696,0.5349,-104.0,0.5098,-4.69,12,12,12
Jonathan Isaac,Magic @ Bucks,Bucks,Magic,9.5,espnbet,-105.0,1.9524,0.5122,102.0,0.495,-3.36,draftkings,-105.0,1.9524,0.5122,-102.0,0.5049,-1.42,12,12,12
Matas Buzelis,Bulls @ Heat,Heat,Bulls,19.5,draftkings,-105.0,1.9524,0.5122,101.0,0.4975,-2.87,hardrockbet,-115.0,1.8696,0.5349,-101.0,0.5025,-6.05,12,12,12
Payton Pritchard,Lakers @ Celtics,Celtics,Lakers,19.5,hardrockbet,-105.0,1.9524,0.5122,108.0,0.4808,-6.13,bovada,-106.0,1.9434,0.5146,-108.0,0.5192,0.9,12,12,12
Scottie Barnes,Wizards @ Raptors,Raptors,Wizards,34.5,fanduel,-106.0,1.9434,0.5146,100.0,0.5,-2.83,betrivers,-112.0,1.8929,0.5283,100.0,0.5,-5.35,12,11,12
Tim Hardaway Jr,Pistons @ Warriors,Warriors,Pistons,12.5,bet365,-115.0,1.8696,0.5349,-104.0,0.5098,-4.69,draftkings,-105.0,1.9524,0.5122,104.0,0.4902,-4.29,12,12,12
Tobias Harris,Pistons @ Warriors,Warriors,Pistons,21.5,draftkings,100.0,2.0,0.5,107.0,0.4831,-3.38,fanatics,-115.0,1.8696,0.5349,-107.0,0.5169,-3.36,12,12,12
Andrew Nembhard,Pacers @ Hawks,Hawks,Pacers,24.5,espnbet,100.0,2.0,0.5,105.0,0.4878,-2.44,betparx,-114.0,1.8772,0.5327,-105.0,0.5122,-3.85,11,10,11
Bilal Coulibaly,Wizards @ Raptors,Raptors,Wizards,21.5,betmgm,100.0,2.0,0.5,100.0,0.5,0.0,espnbet,-105.0,1.9524,0.5122,100.0,0.5,-2.38,10,11,11
Dennis Schroder,Pistons @ Warriors,Warriors,Pistons,15.5,fanatics,100.0,2.0,0.5,135.0,0.4255,-14.9,bet365,-115.0,1.8696,0.5349,-135.0,0.5745,7.41,11,11,11
Duncan Robinson,Bulls @ Heat,Heat,Bulls,16.5,betonline,110.0,2.1,0.4762,104.0,0.4902,2.94,bet365,-115.0,1.8696,0.5349,-104.0,0.5098,-4.69,11,11,11
Dyson Daniels,Pacers @ Hawks,Hawks,Pacers,25.5,betonline,-109.0,1.9174,0.5215,143.0,0.4115,-21.1,betparx,-112.0,1.8929,0.5283,-143.0,0.5885,11.4,11,11,11
